,iBlock,iRun,trial_counter,trial,timing_bl,jitter_t_BL,timing_cue,play_tone,timing_ITI,timing_target,keypress,reaction_time,cue_ori,target_ori,mapping1,frequency,correct,subject,phase1,pupil_target_locked_t1,pupil_target_locked_t2,pupil_baseline_target_locked,outlier_rt
160,1,2,161,61,"(1941.3500701041266, 'Miss', 'Miss')",324.0,1944.050307686932,0,1945.0504386293435,1948.8845667720307,left,0.8376871685868537,45,315,1,80,1,sub-19,1,0.5479299381912021,-4.054674086194498,-0.4948290221749664,0
161,1,2,162,62,"(1951.8854983496276, 'Miss', 'Miss')",360.0,1954.8857466408554,0,1955.885954151291,1960.4035184670429,right,1.5204580876088585,45,45,0,20,1,sub-19,1,2.025184550240265,-4.1953616334780905,-1.715512067885968,0
162,1,2,163,63,"(1963.4044752898917, 'Miss', 'Miss')",336.0,1966.2047021087853,1,1967.204841096387,1970.9056149327625,right,0.7038421056422521,45,315,1,80,0,sub-19,1,5.658510768085014,4.642724400989176,-3.2092661568655463,0
163,1,2,164,64,"(1973.9065659297848, 'Miss', 'Miss')",408.0,1977.306905436828,0,1978.307088811693,1982.1578513570569,left,0.8538915696954064,45,315,1,80,1,sub-19,1,6.010435996850138,3.8604412748770898,-2.2182270426881967,0
164,1,2,165,65,"(1985.1587346635097, 'Miss', 'Miss')",360.0,1988.1590284516788,1,1989.1591846393453,1992.6766024771428,right,0.5200844023711397,45,45,0,20,1,sub-19,1,-0.3579252464408022,-1.157516982520118,3.4191587147487814,0
165,1,2,166,66,"(1995.677534332157, 'Miss', 'Miss')",372.0,1998.777800711196,0,1999.7779796473333,2004.7291103850118,left,1.9535415206737523,45,315,1,80,1,sub-19,1,-1.7627707737179978,0.8723881002782087,-6.4920863235338055,0
166,1,2,167,67,"(2007.7299318267178, 'Miss', 'Miss')",372.0,2010.8301945992926,1,2011.8303477353365,2015.0810178442334,left,0.2535114483034704,0,45,1,80,0,sub-19,1,-4.385109411415718,-10.054358925174707,4.250860648069607,0
167,1,2,168,68,"(2018.0819674541526, 'Miss', 'Miss')",396.0,2021.3822661249208,1,2022.3824605966001,2025.7664908376391,left,0.3866793281304126,0,45,1,80,0,sub-19,1,-3.0386617032892573,-0.4799647194053737,-0.34907988720167626,0
168,1,2,169,69,"(2028.76744155724, 'Miss', 'Miss')",312.0,2031.3675953036072,0,2032.367773962324,2036.1518513093438,left,0.7866984146530741,45,315,1,80,1,sub-19,1,-0.7216879848822054,5.038144489332777,-6.608308715989071,0
169,1,2,170,70,"(2039.1528011966802, 'Miss', 'Miss')",312.0,2041.752997388365,1,2042.7531655051096,2047.820987294701,right,2.070556599577685,0,45,1,80,1,sub-19,1,-1.7837629943331081,-5.661676179100166,9.83983974683757,0
170,1,2,171,71,"(2050.8217854331015, 'Miss', 'Miss')",372.0,2053.922071231565,1,2054.922247116076,2058.4229584218992,right,0.5048651209945092,0,315,0,20,0,sub-19,1,1.4542783258055259,-2.3250251063384817,1.315233139247973,0
171,1,2,172,72,"(2061.4239757223877, 'Miss', 'Miss')",336.0,2064.224117373229,1,2065.2242913158007,2068.8917172820147,right,0.6700897565860942,0,45,1,80,1,sub-19,1,-2.9841057168820733,-2.447003780698832,0.6735114270984357,0
172,1,2,173,73,"(2071.89265801448, 'Miss', 'Miss')",300.0,2074.3928097634234,1,2075.3930050673625,2078.893716373186,right,0.5047458302324229,0,45,1,80,1,sub-19,1,0.10970514291190377,-9.800886739948474,-2.147209574299006,0
173,1,2,174,74,"(2081.8946479507795, 'Miss', 'Miss')",372.0,2084.9949398524914,0,2085.9950940982158,2089.8458743984847,left,0.8549551993855857,45,315,1,80,1,sub-19,1,-0.194819559873746,-3.2327354935375125,5.098945997665629,0
174,1,2,175,75,"(2092.846814576111, 'Miss', 'Miss')",396.0,2096.147148201846,1,2097.147306331455,2101.8149345371166,right,1.6699746271333424,0,45,1,80,1,sub-19,1,1.654089214033232,3.9897331247252654,-4.61584783557124,0
175,1,2,176,76,"(2104.81587194054, 'Miss', 'Miss')",348.0,2107.716106027845,0,2108.7163002221023,2112.8671542052216,left,1.1532772500322608,45,315,1,80,1,sub-19,1,0.815887948015184,1.0546891240874954,-0.6683626990033801,0
176,1,2,177,77,"(2115.8680949376903, 'Miss', 'Miss')",396.0,2119.1684182988683,0,2120.1685509058043,2124.336049278736,left,1.1703214025947088,45,315,1,80,1,sub-19,1,-4.38966188741228,-3.201790009452022,-5.933359440810357,0
177,1,2,178,78,"(2127.3370108177296, 'Miss', 'Miss')",300.0,2129.8371614569915,0,2130.8373603673936,2134.938189632357,right,1.104774460014596,0,45,1,80,1,sub-19,1,-6.209345055884971,0.5880143145179637,6.790639702843329,0
178,1,2,179,79,"(2137.9391339712893, 'Miss', 'Miss')",408.0,2141.3394762525386,0,2142.339614407884,2146.323756782236,left,0.9877990522218172,45,45,0,20,0,sub-19,1,-3.8392115454389497,-7.013480860883919,3.644961225742143,0
179,1,2,180,80,"(2149.324705559895, 'Miss', 'Miss')",312.0,2151.924890377344,1,2152.9250504488955,2157.5093171630538,right,1.5866367163616817,45,315,1,80,0,sub-19,1,0.6106390392020685,-4.1571880981106935,6.590605734451999,0
180,1,2,181,81,"(2160.510282863357, 'Miss', 'Miss')",408.0,2163.9105829767104,0,2164.910778003228,2168.7282093236568,right,0.8201941498700762,0,45,1,80,1,sub-19,1,-0.6146714011892146,-2.2252551822801827,-0.7402596907536793,0
181,1,2,182,82,"(2171.7291569916306, 'Miss', 'Miss')",324.0,2174.429355458164,1,2175.4295596395527,2179.2969604714817,left,0.8707454118848545,45,315,1,80,1,sub-19,1,1.5578468713214653,-1.8857337082353336,1.2845518443308612,0
182,1,2,183,83,"(2182.297930055669, 'Miss', 'Miss')",348.0,2185.1981538784203,1,2186.1983305951944,2190.0824124364226,left,0.8872624657451524,45,315,1,80,1,sub-19,1,0.13663991412943635,1.0315817566863612,-1.5915227829396372,0
183,1,2,184,84,"(2193.083387014176, 'Miss', 'Miss')",300.0,2195.5835659503136,0,2196.5837382283607,2200.6345510977812,left,1.053163452197623,45,45,0,20,0,sub-19,1,-10.55791575374612,-20.087244440709515,10.314785948447161,0
184,1,2,185,85,"(2203.6354061073544, 'Miss', 'Miss')",348.0,2206.5357142658977,1,2207.5359006923863,2211.1366314731204,right,0.6033643322844,0,45,1,80,1,sub-19,1,1.8898816244094327,-0.472016558465501,7.436980529570628,0
185,1,2,186,86,"(2214.137559721672, 'Miss', 'Miss')",300.0,2216.637735606182,0,2217.637904555188,2221.6886968955005,left,1.054647373744956,45,315,1,80,1,sub-19,1,1.6216132074351397,1.807989134455614,-0.25077608291686604,0
186,1,2,187,87,"(2224.6896648151633, 'Miss', 'Miss')",372.0,2227.789962265284,1,2228.7901181755296,2233.79122702474,left,2.0036852521661785,0,45,1,80,0,sub-19,1,-3.819434430453189,-5.322120118555116,2.7678145427802208,0
187,1,2,188,88,"(2236.7920431954626, 'Miss', 'Miss')",372.0,2239.8923256648814,1,2240.892532897895,2244.409880825758,left,0.5205599008841091,45,315,1,80,1,sub-19,1,-2.1463631078815752,-7.763855410690452,-0.6524195963764877,0
188,1,2,189,89,"(2247.4108218356487, 'Miss', 'Miss')",396.0,2250.7111837582597,0,2251.711326907167,2255.3454263645913,right,0.6381184462916281,45,315,1,80,0,sub-19,1,-0.06563956400524824,-2.620446687032057,-0.26662350975604304,0
189,1,2,190,90,"(2258.3464051036462, 'Miss', 'Miss')",324.0,2261.046555299036,1,2262.046708989917,2265.647470286891,left,0.6050726869107166,45,315,1,80,1,sub-19,1,1.7245480206302108,0.9405455597693329,2.293090815987887,0
190,1,2,191,91,"(2268.6483638578975, 'Miss', 'Miss')",360.0,2271.648649878298,0,2272.648842408031,2276.2162206024586,left,0.5712282342938124,45,315,1,80,1,sub-19,1,5.093424875791289,2.1183928546033965,4.938661283630824,0
191,1,2,192,92,"(2279.2171743736835, 'Miss', 'Miss')",396.0,2282.517498012283,0,2283.5176849936106,2287.135084022306,left,0.620689789098833,45,315,1,80,1,sub-19,1,0.012398725882235196,-3.1577944661111865,-1.7303501771439267,0
192,1,2,193,93,"(2290.1360635936253, 'Miss', 'Miss')",348.0,2293.036266055013,0,2294.036404487775,2297.837187257086,right,0.8042962982690369,0,45,1,80,1,sub-19,1,-3.0153602187772237,-0.4098008466112418,-1.2478638355443423,0
193,1,2,194,94,"(2300.838120499204, 'Miss', 'Miss')",408.0,2304.238484141821,0,2305.238659194074,2308.806040440122,right,0.5703041470442258,0,45,1,80,1,sub-19,1,2.40306138705934,1.7343723937064344,-6.185355166459965,0
194,1,2,195,95,"(2311.8070005920163, 'Miss', 'Miss')",324.0,2314.5071799165416,1,2315.507358575258,2318.7413435135527,left,0.23701353645083145,45,315,1,80,1,sub-19,1,6.732278474300903,10.386052059191377,-2.0558693687402227,0
195,1,2,196,96,"(2321.7422967299353, 'Miss', 'Miss')",396.0,2325.0426303556706,1,2326.042807072445,2330.060270129761,left,1.0197881174208303,45,315,1,80,1,sub-19,1,2.629275562977868,-0.8912996045411774,-1.5815099083825581,0
196,1,2,197,97,"(2333.0612222364653, 'Miss', 'Miss')",384.0,2336.2615103097737,0,2337.261662058714,2341.0957619045253,right,0.837242463738221,0,45,1,80,1,sub-19,1,8.226897276858919,-6.355746374487313,-5.487280349901482,0
197,1,2,198,98,"(2344.0967497984566, 'Miss', 'Miss')",336.0,2346.8969494301527,0,2347.8971036758776,2351.581172922219,right,0.6871219800705148,0,315,0,20,0,sub-19,1,1.5638487130850482,2.7693021929631048,1.7725645233742728,0
198,1,2,199,99,"(2354.5821824549384, 'Miss', 'Miss')",324.0,2357.282337921312,1,2358.2825032638502,2362.733417336221,right,1.4550035260144796,0,45,1,80,1,sub-19,1,1.0154313429075619,4.190880851987733,-1.563704586580101,0
199,1,2,200,100,"(2365.7343666687193, 'Miss', 'Miss')",300.0,2368.2345170305607,0,2369.234680153735,2373.5022346210644,right,1.2701644381486403,0,315,0,20,0,sub-19,1,-4.338932132379618,-9.889796554749768,2.1727335175496028,0
0,1,1,1,1,"(71.63515062202123, 'Miss', 'Miss')",348.0,74.54224565758545,1,75.54242764630591,79.35991404362018,left,0.8216599313270763,45,45,1,80,0,sub-20,1,-0.4865971872804772,-9.628421654371916,8.815258791364158,0
1,1,1,2,2,"(82.36087114893417, 'Miss', 'Miss')",360.0,85.36117464841641,0,86.3613441531545,90.66224141857992,right,1.3051909230907768,0,315,1,80,0,sub-20,1,-1.9832246281893136,2.881025827975595,-3.253683899901464,0
2,1,1,3,3,"(93.66323514357555, 'Miss', 'Miss')",396.0,96.96356924268551,1,97.96377592194904,101.89788518564659,right,0.9370712965780968,45,45,1,80,1,sub-20,1,0.058208270069925384,-2.249946509914364,0.4608927564266103,0
3,1,1,4,4,"(104.89892773688416, 'Miss', 'Miss')",324.0,107.59916401705686,0,108.59931687648529,112.88354386413653,right,1.286892179173492,45,315,0,20,0,sub-20,1,1.885953471589762,-2.5822324286975933,-0.5222888427242961,0
4,1,1,5,5,"(115.88450429851241, 'Miss', 'Miss')",324.0,118.58473308829592,1,119.58490675436155,124.01917678400969,right,1.4367085675351063,0,315,1,80,0,sub-20,1,0.8485972889017864,-2.319443738099213,-0.13681053421375128,0
5,1,1,6,6,"(127.02010309550042, 'Miss', 'Miss')",360.0,130.02044987278828,1,131.0206449003349,134.70475021077118,right,0.6862811298501583,45,45,1,80,1,sub-20,1,1.4565645478413929,1.4212990880097978,0.06294946457343678,0
6,1,1,7,7,"(137.70572035491136, 'Miss', 'Miss')",348.0,140.60598387790765,0,141.60614395030368,145.340295326635,left,0.7372066229468146,45,45,1,80,0,sub-20,1,-2.298364791441565,-0.01909714271373337,1.0243385965119327,0
7,1,1,8,8,"(148.34124410929417, 'Miss', 'Miss')",360.0,151.3415279118265,0,152.34174180405742,156.5426221190089,left,1.2040892532609178,0,315,1,80,1,sub-20,1,1.5978730379398347,-1.0666264905410179,-0.43195195345866216,0
